city,match_type,team1,team2,toss_winner,toss_decision,winner,method
Mumbai,League,MI,SRH,MI,field,MI,NA
Chennai,League,CSK,KKR,CSK,bat,KKR,NA
,,,,,,,
Jaipur,League,RR,DC,RR,bat,DC,NA
Bengaluru,League,RCB,PBKS,PBKS,field,PBKS,NA
,,,,,,,
Chennai,League,CSK,SRH,CSK,bat,CSK,NA
,,,,,,,
Chandigarh,League,PBKS,RR,RR,bat,RR,NA
Mumbai,League,MI,CSK,MI,field,MI,NA
Bengaluru,League,RCB,SRH,RCB,field,RCB,NA
Delhi,League,DC,KKR,DC,bat,KKR,NA
,,,,,,,
Hyderabad,League,SRH,PBKS,SRH,field,PBKS,NA
Mumbai,League,MI,RCB,RCB,field,RCB,NA
Hyderabad,League,SRH,DC,SRH,bat,DC,NA
Jaipur,League,RR,CSK,CSK,field,CSK,NA
,,,,,,,
Kolkata,League,KKR,MI,MI,bat,MI,NA
Chennai,League,CSK,DC,CSK,field,CSK,NA
,,,,,,,
Chandigarh,League,PBKS,SRH,SRH,bat,PBKS,NA
Bengaluru,League,RCB,MI,MI,field,MI,NA
Kolkata,League,KKR,CSK,CSK,field,CSK,NA
Delhi,League,DC,PBKS,PBKS,bat,DC,NA
Mumbai,League,MI,KKR,MI,field,KKR,NA
Dharamsala,League,PBKS,CSK,PBKS,field,PBKS,NA
Delhi,League,DC,RCB,DC,field,RCB,NA
Hyderabad,League,SRH,RR,RR,bat,SRH,NA
Dharamsala,League,PBKS,DC,DC,field,DC,NA
,,,,,,,
Hyderabad,League,SRH,RCB,RCB,field,SRH,NA
Jaipur,League,RR,MI,RR,bat,MI,NA
Pune,Qualifier 1,DC,KKR,KKR,bat,KKR,NA
Bengaluru,Elimination Final,CSK,MI,MI,field,CSK,NA
Chennai,Qualifier 2,DC,CSK,DC,field,CSK,NA
Chennai,Final,KKR,CSK,CSK,bat,KKR,NA
Kolkata,League,KKR,DC,KKR,field,KKR,NA
Bengaluru,League,RCB,MI,MI,field,RCB,NA
,,,,,,,
Delhi,League,DC,RR,RR,bat,RR,NA
Chennai,League,CSK,MI,MI,bat,MI,NA
,,,,,,,
Hyderabad,League,SRH,RCB,RCB,bat,SRH,NA
Jaipur,League,RR,KKR,KKR,field,RR,NA
Mumbai,League,MI,DC,MI,bat,MI,NA
Bengaluru,League,RCB,SRH,SRH,bat,RCB,NA
Chandigarh,League,PBKS,CSK,CSK,field,CSK,NA
Bengaluru,League,RCB,KKR,RCB,field,RCB,NA
,,,,,,,
Delhi,League,DC,SRH,DC,bat,SRH,NA
,,,,,,,
Chennai,League,CSK,RCB,CSK,field,CSK,NA
Kolkata,League,KKR,SRH,KKR,bat,KKR,NA
Jaipur,League,RR,PBKS,RR,field,RR,NA
,,,,,,,
Chandigarh,League,PBKS,KKR,KKR,field,PBKS,NA
Bengaluru,League,RCB,DC,RCB,field,RCB,NA
,,,,,,,
Jaipur,League,RR,MI,RR,bat,RR,NA
Delhi,League,DC,CSK,CSK,bat,CSK,NA
Hyderabad,League,SRH,PBKS,PBKS,bat,SRH,NA
Kolkata,League,KKR,CSK,KKR,bat,CSK,NA
Bengaluru,League,RCB,RR,RCB,field,RCB,NA
Delhi,League,DC,MI,MI,bat,DC,NA
,,,,,,,
Chennai,League,CSK,RR,RR,bat,CSK,NA
,,,,,,,
Delhi,League,DC,PBKS,PBKS,field,PBKS,NA
Kolkata,League,KKR,MI,KKR,bat,MI,NA
Chennai,League,CSK,SRH,SRH,bat,CSK,NA
Kolkata,League,KKR,PBKS,PBKS,bat,KKR,NA
Jaipur,League,RR,SRH,SRH,bat,RR,NA
Mumbai,League,MI,RCB,MI,bat,MI,NA
Chennai,League,CSK,KKR,KKR,field,CSK,NA
,,,,,,,
Jaipur,League,RR,RCB,RR,field,RR,NA
Mumbai,League,MI,PBKS,MI,bat,MI,NA
,,,,,,,
Hyderabad,League,SRH,MI,MI,bat,SRH,NA
Raipur,League,DC,KKR,KKR,bat,DC,NA
Chennai,League,CSK,PBKS,CSK,bat,CSK,NA
,,,,,,,
Kolkata,League,KKR,RR,RR,bat,KKR,NA
Hyderabad,League,SRH,DC,DC,bat,SRH,NA
Mumbai,League,MI,CSK,MI,bat,MI,NA
,,,,,,,
Chandigarh,League,PBKS,RCB,PBKS,field,PBKS,NA
Jaipur,League,RR,DC,DC,bat,RR,NA
Mumbai,League,MI,KKR,MI,bat,MI,NA
Hyderabad,League,SRH,CSK,SRH,field,CSK,NA
Chandigarh,League,PBKS,RR,RR,field,RR,NA
,,,,,,,
Delhi,League,DC,RCB,DC,field,RCB,NA
,,,,,,,
Chandigarh,League,PBKS,SRH,PBKS,field,SRH,NA
Ranchi,League,KKR,RCB,KKR,field,KKR,NA
Jaipur,League,RR,CSK,RR,field,RR,NA
Mumbai,League,MI,SRH,SRH,bat,MI,NA
Bengaluru,League,RCB,PBKS,PBKS,field,PBKS,NA
Chennai,League,CSK,DC,CSK,bat,CSK,NA
,,,,,,,
Mumbai,League,MI,RR,RR,field,MI,NA
Dharamsala,League,PBKS,DC,DC,field,PBKS,NA
Hyderabad,League,SRH,RR,SRH,bat,SRH,NA
Dharamsala,League,PBKS,MI,MI,field,PBKS,NA
Bengaluru,League,RCB,CSK,CSK,field,RCB,NA
,,,,,,,
Hyderabad,League,SRH,KKR,KKR,bat,SRH,NA
Delhi,Qualifier 1,CSK,MI,CSK,bat,CSK,NA
Delhi,Eliminator,RR,SRH,SRH,bat,RR,NA
Kolkata,Qualifier 2,MI,RR,RR,bat,MI,NA
Kolkata,Final,CSK,MI,MI,bat,MI,NA
Abu Dhabi,League,MI,KKR,KKR,bat,KKR,NA
NA,League,DC,RCB,RCB,field,RCB,NA
Abu Dhabi,League,CSK,PBKS,CSK,bat,PBKS,NA
Abu Dhabi,League,SRH,RR,RR,field,RR,NA
NA,League,RCB,MI,RCB,field,RCB,NA
